InitializeA,InitializeB,MatMul,MatrixSize
786419122,87000,429748,8
128953488,64333,436081,16
127837868,66333,436373,32
127718701,64000,436373,64
128491614,66000,435665,128
130027358,67333,543414,256
128382241,66666,477040,512
127929367,63042,548789,1024
127660201,75667,654830,2048
126577873,2227032,1986533,4096
130711272,7097470,6636263,8192
135117211,26215096,23258650,16384
153435175,103877720,90552236,32768
